Total sats: 16978
Beginning main integration...
         7556259851 function calls (7555909580 primitive calls) in 23177.904 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 17401.012 17401.012 23177.908 23177.908 satEvol.py:1(<module>)
7334496000 2165.976    0.000 2165.976    0.000 KeplerTools.py:120(getXYZVVV)
   432000 1904.407    0.004 1904.407    0.004 _kdtree.py:608(query_pairs)
   432000 1217.588    0.003 1591.286    0.004 _kdtree.py:353(__init__)
        9    0.004    0.000    0.008    0.001 cbook.py:683(safe_masked_invalid)
       12    0.004    0.000    0.004    0.000 {method 'decode' of 'ImagingDecoder' objects}
     8017    0.004    0.000    0.071    0.000 inspect.py:725(getdoc)
    11256    0.004    0.000    0.009    0.000 __init__.py:778(__getitem__)
     8957    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1086    0.004    0.000    0.015    0.000 templates.py:887(make_overload_template)
     1155    0.004    0.000    0.015    0.000 colors.py:325(_to_rgba_no_colorcycle)
      948    0.004    0.000    0.017    0.000 analysis.py:235(compute_cfg_from_blocks)
8645/8634    0.004    0.000    0.020    0.000 context.py:540(can_convert)
    20369    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
     1860    0.004    0.000    0.005    0.000 functions.py:245(__init__)
     3362    0.004    0.000    0.009    0.000 instructions.py:708(descr)
     2271    0.004    0.000    0.004    0.000 {built-in method _abc._abc_init}
      956    0.004    0.000    0.013    0.000 lowering.py:402(<listcomp>)
  699/373    0.004    0.000    1.739    0.005 typeinfer.py:568(resolve)
      546    0.004    0.000    0.009    0.000 predicates.py:361(is_valid)
     6492    0.004    0.000    0.006    0.000 typeinfer.py:899(__getitem__)
       15    0.004    0.000    0.004    0.000 backend_agg.py:93(draw_path)
3264/1012    0.004    0.000    0.005    0.000 sre_parse.py:175(getwidth)
     1374    0.004    0.000    0.012    0.000 ir.py:592(__repr__)
     3362    0.004    0.000    0.028    0.000 builder.py:968(extract_value)
      133    0.004    0.000    0.015    0.000 __init__.py:328(namedtuple)
     1146    0.004    0.000    0.004    0.000 predicates.py:41(has_z)
     1460    0.004    0.000    0.018    0.000 path.py:99(__init__)
     1888    0.004    0.000    0.050    0.000 context.py:360(_call_incref_decref)
     6298    0.004    0.000    0.073    0.000 base.py:665(covers)
      861    0.004    0.000    0.004    0.000 predicates.py:137(is_empty)
    16505    0.004    0.000    0.011    0.000 ffi.py:139(__getattr__)
     4617    0.004    0.000    0.011    0.000 base.py:123(_match)
      699    0.004    0.000    0.005    0.000 analysis.py:81(def_reach)
     8977    0.004    0.000    0.009    0.000 target_extension.py:15(__getitem__)
    10610    0.004    0.000    0.005    0.000 errors.py:844(new_error_context)
    11770    0.004    0.000    0.005    0.000 ir.py:387(__getattr__)
     4186    0.004    0.000    0.018    0.000 base.py:103(_match_arglist)
      705    0.004    0.000    0.004    0.000 _geometry.py:506(get_geometry)
      788    0.004    0.000    0.010    0.000 instructions.py:551(__init__)
      128    0.004    0.000    0.131    0.001 artist.py:1593(pprint_setters)
  3797/59    0.004    0.000    0.008    0.000 copy.py:128(deepcopy)
       46    0.004    0.000    0.017    0.000 castgraph.py:92(propagate)
    37010    0.004    0.000    0.004    0.000 event.py:108(kind)
     1473    0.004    0.000    0.012    0.000 interpreter.py:1839(store)
       20    0.004    0.000    0.005    0.000 backend_agg.py:185(draw_text)
     2864    0.004    0.000    0.006    0.000 functions.py:78(add_error)
     4700    0.004    0.000    0.007    0.000 artist.py:1549(aliased_name)
     2130    0.004    0.000    0.021    0.000 colors.py:278(to_rgba)
10482/9962    0.004    0.000    0.014    0.000 misc.py:63(unliteral)
21301/17324    0.004    0.000    0.013    0.000 abc.py:121(__subclasscheck__)
     1157    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        4    0.003    0.001    0.047    0.012 backend_pdf.py:1137(embedTTF)
    72/70    0.003    0.000    0.127    0.002 registry.py:54(apply)
  1157/65    0.003    0.000    1.205    0.019 <frozen importlib._bootstrap>:664(_load_unlocked)
     2440    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
     3494    0.003    0.000    0.012    0.000 types.py:84(__call__)
      546    0.003    0.000    0.005    0.000 shape_base.py:377(stack)
     1652    0.003    0.000    0.023    0.000 typeof.py:27(typeof)
        4    0.003    0.001    0.042    0.011 backend_pdf.py:1154(embedTTFType3)
     8055    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      762    0.003    0.000    0.003    0.000 _geometry.py:650(get_num_geometries)
      130    0.003    0.000    0.030    0.000 text.py:358(_get_layout)
  1215/62    0.003    0.000    1.208    0.019 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    11588    0.003    0.000    0.005    0.000 __init__.py:698(_get)
     1415    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
     2363    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
      554    0.003    0.000    0.003    0.000 creation.py:465(prepare)
       24    0.003    0.000    0.005    0.000 backend_agg.py:206(get_text_width_height_descent)
      546    0.003    0.000    0.040    0.000 trace.pyx:73(as_geom)
      952    0.003    0.000    0.008    0.000 npydecl.py:25(_handle_inputs)
        4    0.003    0.001    0.018    0.004 core.py:2386(masked_invalid)
    69/15    0.003    0.000    1.766    0.118 typeinfer.py:147(propagate)
     2440    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
      219    0.003    0.000    0.003    0.000 _text_helpers.py:46(layout)
     1168    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      130    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
      334    0.003    0.000    0.004    0.000 analysis.py:190(compute_live_variables)
      516    0.003    0.000    0.027    0.000 cgutils.py:362(alloca_once)
      702    0.003    0.000    0.015    0.000 artist.py:1188(_update_props)
     4111    0.003    0.000    0.004    0.000 controlflow.py:383(_dfs)
     3073    0.003    0.000    0.004    0.000 types.py:158(__init__)
7609/7539    0.003    0.000    0.024    0.000 manager.py:29(lookup)
       30    0.003    0.000    0.004    0.000 crs.py:185(__init__)
     3034    0.003    0.000    0.011    0.000 errors.py:488(catch_warnings)
     4900    0.003    0.000    0.022    0.000 ssa.py:206(_run_ssa_block_pass)
     5309    0.003    0.000    0.018    0.000 ffi.py:334(close)
  446/284    0.003    0.000    0.005    0.000 transforms.py:2431(get_affine)
     1562    0.003    0.000    0.007    0.000 enum.py:89(__setitem__)
     2122    0.003    0.000    0.003    0.000 warnings.py:458(__enter__)
    16978    0.003    0.000    0.003    0.000 KeplerTools.py:65(EAnom)
     1632    0.003    0.000    0.032    0.000 context.py:353(resolve_value_type)
